date,target,model,actual,predicted,error
2025-09-23,hhs_care_load,Naive persistence,2145.0,2141.0,4.0
2025-09-24,hhs_care_load,Naive persistence,2138.0,2141.0,-3.0
2025-09-25,hhs_care_load,Naive persistence,2132.0,2141.0,-9.0
2025-09-26,hhs_care_load,Naive persistence,2136.6666666666665,2141.0,-4.333333333333485
2025-09-27,hhs_care_load,Naive persistence,2141.3333333333335,2141.0,0.3333333333334849
2025-09-28,hhs_care_load,Naive persistence,2146.0,2141.0,5.0
2025-09-29,hhs_care_load,Naive persistence,2148.0,2141.0,7.0
2025-09-30,hhs_care_load,Naive persistence,2159.0,2141.0,18.0
2025-10-01,hhs_care_load,Naive persistence,2163.0,2141.0,22.0
2025-10-02,hhs_care_load,Naive persistence,2164.0,2141.0,23.0
2025-10-03,hhs_care_load,Naive persistence,2169.3333333333335,2141.0,28.333333333333485
2025-10-04,hhs_care_load,Naive persistence,2174.6666666666665,2141.0,33.666666666666515
2025-10-05,hhs_care_load,Naive persistence,2180.0,2141.0,39.0
2025-10-06,hhs_care_load,Naive persistence,2187.0,2141.0,46.0
2025-10-07,hhs_care_load,Naive persistence,2189.0,2141.0,48.0
2025-10-08,hhs_care_load,Naive persistence,2192.0,2141.0,51.0
2025-10-09,hhs_care_load,Naive persistence,2192.0,2141.0,51.0
2025-10-10,hhs_care_load,Naive persistence,2199.75,2141.0,58.75
2025-10-11,hhs_care_load,Naive persistence,2207.5,2141.0,66.5
2025-10-12,hhs_care_load,Naive persistence,2215.25,2141.0,74.25
2025-10-13,hhs_care_load,Naive persistence,2223.0,2141.0,82.0
2025-10-14,hhs_care_load,Naive persistence,2235.0,2141.0,94.0
2025-10-15,hhs_care_load,Naive persistence,2225.0,2141.0,84.0
2025-10-16,hhs_care_load,Naive persistence,2233.0,2141.0,92.0
2025-10-17,hhs_care_load,Naive persistence,2234.3333333333335,2141.0,93.33333333333348
2025-10-18,hhs_care_load,Naive persistence,2235.6666666666665,2141.0,94.66666666666652
2025-10-19,hhs_care_load,Naive persistence,2237.0,2141.0,96.0
2025-10-20,hhs_care_load,Naive persistence,2243.0,2141.0,102.0
2025-10-21,hhs_care_load,Naive persistence,2251.0,2141.0,110.0
2025-10-22,hhs_care_load,Naive persistence,2261.0,2141.0,120.0
2025-10-23,hhs_care_load,Naive persistence,2266.0,2141.0,125.0
2025-10-24,hhs_care_load,Naive persistence,2269.3333333333335,2141.0,128.33333333333348
2025-10-25,hhs_care_load,Naive persistence,2272.6666666666665,2141.0,131.66666666666652
2025-10-26,hhs_care_load,Naive persistence,2276.0,2141.0,135.0
2025-10-27,hhs_care_load,Naive persistence,2282.0,2141.0,141.0
2025-10-28,hhs_care_load,Naive persistence,2286.0,2141.0,145.0
2025-10-29,hhs_care_load,Naive persistence,2280.0,2141.0,139.0
2025-10-30,hhs_care_load,Naive persistence,2287.0,2141.0,146.0
2025-10-31,hhs_care_load,Naive persistence,2283.6666666666665,2141.0,142.66666666666652
2025-11-01,hhs_care_load,Naive persistence,2280.3333333333335,2141.0,139.33333333333348
2025-11-02,hhs_care_load,Naive persistence,2277.0,2141.0,136.0
